,mst_id,det_id,date,dtv,values,weekday,day_type,yeartime
2798,4014,4014011,2019-03-31,6471,"[0.020398701900788133, 0.01329006335960439, 0.0, 0.012517385257301807, 0.00880853036624942, 0.010508422191315097, 0.007572245402565291, 0.00803585226394684, 0.01962602379848555, 0.034306907742234584, 0.04512440117447072, 0.05254211095657549, 0.05748725081131201, 0.07649513212795549, 0.07865863081440272, 0.07773141709163962, 0.07525884716427136, 0.07479524030288981, 0.08669448307834957, 0.08437644877144182, 0.062432390666048526, 0.04373358059032607, 0.031988873435326845, 0.01761706073249884]",6,2.0,1.0
2799,4014,4014011,2019-03-30,8055,"[0.01154562383612663, 0.008690254500310366, 0.006579764121663563, 0.00558659217877095, 0.007945375543140907, 0.016511483550589696, 0.021477343265052764, 0.027684667908131594, 0.05139664804469274, 0.06132836747361887, 0.06194909993792675, 0.07324643078833024, 0.0628181253879578, 0.07597765363128492, 0.07063935443823711, 0.05834885164494103, 0.0654252017380509, 0.06430788330229671, 0.06952203600248293, 0.058224705152079455, 0.04059590316573557, 0.03004345127250155, 0.029174425822470516, 0.020980757293606454]",5,2.0,1.0
2800,4014,4014011,2019-03-29,10767,"[0.006129841181387573, 0.00399368440605554, 0.0020432803937958577, 0.0027862914460852605, 0.004086560787591715, 0.02201170242407356, 0.05145351537104115, 0.06752112937679948, 0.07327946503204236, 0.05368254852790935, 0.0595337605646884, 0.05321816662022848, 0.06529209621993128, 0.059348007801616046, 0.06677811832451008, 0.06622086003529302, 0.06817126404755271, 0.06612798365375686, 0.0666852419429739, 0.04931735859570911, 0.0335283737345593, 0.023497724528652363, 0.020711433082567104, 0.01458159190117953]",4,1.0,1.0
2801,4014,4014011,2019-03-28,10490,"[0.004289799809342231, 0.003336510962821735, 0.0019065776930409914, 0.0012392755004766445, 0.002859866539561487, 0.020972354623450904, 0.051954242135367014, 0.07292659675881792, 0.08074356530028598, 0.06587225929456625, 0.050238322211630125, 0.04890371782650143, 0.04899904671115348, 0.05843660629170639, 0.06320305052430887, 0.07235462345090563, 0.0775023832221163, 0.07359389895138227, 0.06816015252621545, 0.045948522402287896, 0.02831267874165872, 0.027454718779790277, 0.017349857006673023, 0.01344137273593899]",3,1.0,1.0
2802,4014,4014011,2019-03-27,10418,"[0.005087348819351123, 0.0017277788443079286, 0.0017277788443079286, 0.0011518525628719525, 0.002015741985025917, 0.021021309272413132, 0.05010558648492993, 0.07784603570742944, 0.0854290650796698, 0.06834325206373584, 0.05058552505279324, 0.054521021309272416, 0.050681512766365906, 0.05413707045498176, 0.05980034555576886, 0.06728738721443656, 0.06901516605874448, 0.07611825686312151, 0.06594355922441927, 0.049049721635630636, 0.035323478594739874, 0.02524476866961029, 0.017277788443079287, 0.010558648492992897]",2,1.0,1.0
2803,4014,4014011,2019-03-26,10125,"[0.003358024691358025, 0.003358024691358025, 0.0021728395061728395, 0.0004938271604938272, 0.0035555555555555557, 0.022123456790123456, 0.052543209876543207, 0.06982716049382716, 0.08019753086419754, 0.06577777777777778, 0.05422222222222222, 0.0508641975308642, 0.05175308641975308, 0.057777777777777775, 0.06172839506172839, 0.06548148148148149, 0.07506172839506173, 0.07753086419753086, 0.07022222222222223, 0.04750617283950617, 0.03535802469135802, 0.02074074074074074, 0.018469135802469137, 0.009876543209876543]",1,1.0,1.0
2804,4014,4014011,2019-03-25,9759,"[0.004406189158725279, 0.0023567988523414286, 0.0017419817604262732, 0.0012296341838303104, 0.002971615944256584, 0.02510503125320217, 0.05533353827236397, 0.06967927041705092, 0.08863613075110155, 0.06445332513577211, 0.051132288144277074, 0.05420637360385285, 0.05697305051747105, 0.05810021518598217, 0.059227379854493285, 0.0700891484783277, 0.07101137411620043, 0.08002869146428937, 0.05840762373193975, 0.04959524541448919, 0.028384055743416334, 0.02090378112511528, 0.015985244389794036, 0.010042012501280869]",0,1.0,1.0
2805,4014,4014011,2019-03-24,6685,"[0.01795063575168287, 0.010620792819745699, 0.008376963350785341, 0.008376963350785341, 0.004487658937920718, 0.008526551982049364, 0.005385190725504862, 0.008825729244577411, 0.020792819745699326, 0.03949139865370232, 0.04637247569184742, 0.05594614809274495, 0.06342557965594615, 0.07210172026925954, 0.07464472700074794, 0.07404637247569185, 0.07673896783844428, 0.09259536275243081, 0.09319371727748692, 0.08421839940164548, 0.05759162303664921, 0.0381451009723261, 0.025729244577412116, 0.012415856394913986]",6,2.0,1.0
2806,4014,4014011,2019-03-23,8137,"[0.011797959936094385, 0.008111097456064888, 0.006513457048052108, 0.007865306624062922, 0.009954528696079636, 0.017328253656138624, 0.025562246528204498, 0.028511736512228093, 0.04411945434435296, 0.06538036131252305, 0.06796116504854369, 0.07361435418458892, 0.0715251321125722, 0.06525746589652207, 0.06390561632051124, 0.06488877964851911, 0.06452009340051616, 0.06316824382450535, 0.06562615214452501, 0.055425832616443405, 0.03932653312031461, 0.03023227233624186, 0.02605382819220843, 0.023350129040186803]",5,2.0,1.0
2807,4014,4014011,2019-03-22,10287,"[0.005735394186837757, 0.003499562554680665, 0.002041411490230388, 0.002041411490230388, 0.005249343832020997, 0.024594147953728007, 0.055215320307183825, 0.06532516768737241, 0.07417128414503743, 0.058326042578011085, 0.05064644697190629, 0.056479051229707394, 0.06172839506172839, 0.0756294352094877, 0.07310197336444056, 0.0621172353455818, 0.062311655487508506, 0.06571400797122581, 0.06367259648099544, 0.04792456498493244, 0.0324681637017595, 0.020219694760377174, 0.017497812773403325, 0.014289880431612716]",4,1.0,1.0
